gene_id	gene_symbol	count	tfidf	rank_tfidf
5979	RET	6940	1.3849867746826372	1
796	CALCA	3172	0.6761393478683694	2
1084	CEACAM3	1122	0.22107639255200826	3
673	BRAF	638	0.11493623928358662	4
7294	TXK	533	0.09171752081667021	5
3791	KDR	477	0.08983133651857225	6
3026	HABP2	205	0.07035910447631995	7
6335	SCN9A	196	0.05840170648881037	8
207	AKT1	408	0.05253351132400019	9
80381	CD276	188	0.05218079868713921	10
80139	ZNF703	137	0.050485370396543626	11
1956	EGFR	351	0.04943093776227515	12
1020	CDK5	182	0.04765741854179448	13
7038	TG	209	0.04689604496520365	14
79811	SLTM	229	0.04638704599213674	15
1327	COX4I1	161	0.04611373129565767	16
7422	VEGFA	340	0.04568192753516486	17
2475	MTOR	284	0.04321711768275251	18
2304	FOXE1	122	0.04108197579864262	19
2668	GDNF	163	0.038703766872272845	20
25913	POT1	126	0.03841199245812646	21
4221	MEN1	127	0.03525078751167773	22
6750	SST	149	0.03314294521447012	23
406991	MIR21	148	0.031158897024349638	24
10178	TENM1	160	0.028860495616996083	25
22882	ZHX2	129	0.02675195811058243	26
494324	MIR375	98	0.026657310364280404	27
5609	MAP2K7	142	0.02647507451244439	28
3815	KIT	137	0.02563371261089531	29
5290	PIK3CA	119	0.02393125943864678	30
7080	NKX2-1	93	0.02373542626462675	31
7157	TP53	189	0.023521277540301876	32
3265	HRAS	102	0.023008508012031668	33
3845	KRAS	133	0.0229372275913207	34
5295	PIK3R1	127	0.022813744041275473	35
1113	CHGA	98	0.022662808296598367	36
23405	DICER1	89	0.020696248734655545	37
81285	OR51E2	54	0.020515411114528637	38
5728	PTEN	116	0.020262185213100588	39
5591	PRKDC	83	0.02010651736551689	40
11200	CHEK2	85	0.01974961542608916	41
2191	FAP	71	0.018930652845128317	42
9232	PTTG1	63	0.018563659498452588	43
6528	SLC5A5	64	0.018147159931735164	44
5594	MAPK3	119	0.017967586398076454	45
5894	RAF1	80	0.01791471541834596	46
4851	NOTCH1	81	0.01754138292447977	47
729582	DIRC3	42	0.017426342717628586	48
101928337	PTCSC2	39	0.0171485554511139	49
3091	HIF1A	100	0.017124558263104155	50
7015	TERT	77	0.01677452870774125	51
5159	PDGFRB	77	0.01668874787370321	52
6387	CXCL12	80	0.016681497300065445	53
57522	SRGAP1	43	0.01647646652871256	54
5293	PIK3CD	72	0.016389111352547146	55
6390	SDHB	62	0.01615384220691172	56
5443	POMC	84	0.015571382316717307	57
6790	AURKA	61	0.015138897806559264	58
8851	CDK5R1	48	0.014414807578074774	59
7849	PAX8	52	0.013845216920798471	60
50975	TCO	31	0.013825824195801757	61
4893	NRAS	63	0.013572844072185297	62
887	CCKBR	43	0.013467363787495329	63
429	ASCL1	46	0.01312317649536782	64
7074	TIAM1	41	0.012776022235334073	65
6855	SYP	56	0.012700924620563483	66
2740	GLP1R	59	0.012667860101544616	67
4233	MET	55	0.012455913576696145	68
238	ALK	60	0.012423082083024097	69
2346	FOLH1	50	0.012366054597166063	70
4914	NTRK1	49	0.012121179556285529	71
8030	CCDC6	38	0.012067064994786127	72
672	BRCA1	65	0.01184368959405044	73
27250	PDCD4	42	0.011686893490792155	74
2324	KDR	45	0.01162207658910217	75
