gene_id	gene_symbol	count	tfidf	rank_tfidf
1593	CYP27A1	2299	2.078406449962594	1
5189	PEX1	508	0.6482955101067202	2
8504	PEX3	327	0.4182939488962276	3
5824	PEX19	255	0.3215338031109472	4
5194	PEX13	237	0.31638166541523677	5
55670	PEX26	181	0.24882622046302816	6
5195	PEX14	166	0.20844475859963363	7
5190	PEX6	153	0.2003072323384575	8
5825	ABCD3	134	0.1601733922244105	9
6718	AKR1D1	86	0.11295077118950543	10
847	CAT	166	0.10135831781035545	11
5192	PEX10	75	0.10134047293061192	12
9409	PEX16	74	0.10058176375456394	13
3801	KIFC3	69	0.09669114892138712	14
8443	GNPAT	69	0.08736234897418606	15
5828	PEX2	64	0.08249122627570775	16
26031	OSBPL3	60	0.08084240950699269	17
5830	PEX5	66	0.0795860781212982	18
5193	PEX12	56	0.0775212681898336	19
117177	RAB3IP	54	0.07041139169708367	20
10059	DNM1L	67	0.06366507538960042	21
1622	DBI	50	0.05985573991662456	22
215	ABCD1	52	0.0573758063448659	23
10890	RAB10	50	0.057092224320951394	24
56681	SAR1A	47	0.0541297670346626	25
1581	CYP7A1	53	0.05216269122384819	26
5071	PRKN	60	0.05043260260035949	27
8799	PEX11B	34	0.04662015743209814	28
30845	EHD3	33	0.04457557663059585	29
6608	SMO	46	0.042934993485747745	30
84557	MAP1LC3A	56	0.04214203047785566	31
6342	SCP2	33	0.038926047739934376	32
8878	SQSTM1	41	0.035095549459997204	33
6469	SHH	43	0.0343213055578504	34
9804	TOMM20	30	0.030514878366650643	35
10938	EHD1	23	0.02869959449551032	36
29927	SEC61A1	25	0.027525970546369037	37
4609	MYC	50	0.026740287302355486	38
56947	MFF	23	0.02627944636784249	39
26503	SLC17A5	43	0.02616295337333819	40
4077	NBR1	23	0.026087066842685427	41
9965	FGF19	25	0.0253688890818329	42
51	ACOX1	23	0.02471896441056007	43
3156	HMGCR	29	0.02343926300560826	44
91452	ACBD5	15	0.020731810986595742	45
5191	PEX7	15	0.019127733893761885	46
189	AGXT	18	0.01847258852695258	47
84188	FAR1	14	0.01825054303074501	48
2678	GGT1	24	0.01815974946640737	49
338	APOB	25	0.017636510041690548	50
