gene_id	gene_symbol	count	tfidf	rank_tfidf
925	CD8A	423	0.16307204830579392	1
920	CD4	453	0.15517115303698653	2
3105	HLA-A	298	0.14522318149086932	3
723778	MIR650	108	0.11533559771578218	4
355	FAS	212	0.11489103628337809	5
7422	VEGFA	294	0.11335060562222736	6
4879	NPPB	185	0.11038250671005158	7
185	AGTR1	146	0.10226586952123208	8
27178	IL37	122	0.09966482980568277	9
3662	IRF4	133	0.09918955316741748	10
64919	BCL11B	110	0.09594522872175565	11
958	CD40	143	0.08682290261135889	12
3458	IFNG	221	0.08384396815518276	13
50943	FOXP3	138	0.07599434227490866	14
80381	CD276	95	0.07566368509154664	15
28	ABO	97	0.06669977409256302	16
3107	HLA-C	112	0.05830579112931701	17
356	FASLG	93	0.05681738512977199	18
3627	CXCL10	99	0.056396723886505545	19
959	CD40LG	89	0.056245085891254376	20
3559	IL2RA	103	0.055812091575984095	21
4283	CXCL9	76	0.05129571608061901	22
3091	HIF1A	102	0.050122250210098654	23
1234	CCR5	80	0.04892853239749821	24
2833	CXCR3	71	0.04867716142409112	25
29126	CD274	94	0.04521459675973898	26
7124	TNF	147	0.04462244056222255	27
3717	JAK2	76	0.0440001730974241	28
5987	TRIM27	48	0.042715863429306715	29
4878	NPPA	60	0.04208715278319952	30
79865	TREML2	37	0.041060559481996266	31
3586	IL10	97	0.04105554830870207	32
942	CD86	61	0.036618383481636554	33
3383	ICAM1	68	0.036224796433033814	34
3605	IL17A	71	0.0355981917645337	35
3558	IL2	76	0.03338438684859266	36
10725	NFAT5	34	0.03096255075407577	37
1493	CTLA4	54	0.02858983285979551	38
1993	ELAVL2	36	0.028072663864559495	39
2475	MTOR	63	0.027509900467097097	40
3684	ITGAM	47	0.026338555828430504	41
5788	PTPRC	54	0.026294549162000004	42
7412	VCAM1	44	0.02594713561508618	43
6352	CCL5	44	0.025729031218812697	44
3659	IRF1	31	0.022165501126247645	45
5228	PGF	29	0.02040437157174707	46
940	CD28	36	0.020359210471929148	47
960	CD44	38	0.02034229119011668	48
4790	NFKB1	54	0.01993241425467825	49
3459	IFNGR1	24	0.019893977887052307	50
