gene_id	gene_symbol	count	tfidf	rank_tfidf
966	CD59	894	1.034174455040074	1
5277	PIGA	535	0.7571575579560719	2
1604	CD55	575	0.6594289067231744	3
718	C3	180	0.1605059834594087	4
2821	GPI	115	0.12780413461160842	5
727	C5	104	0.12147834299676474	6
3240	HP	102	0.10164696068934954	7
728	C5AR1	94	0.09752811374492598	8
683	BST1	69	0.09173085224464128	9
100133941	CD24	85	0.0870747536393291	10
929	CD14	110	0.08648024490401651	11
2526	FUT4	84	0.08627702691754986	12
100996541	FAM157C	39	0.08201225192308005	13
51604	PIGT	45	0.07537214066828773	14
2214	FCGR3A	82	0.07130674725925885	15
2209	FCGR1A	68	0.07043020918302115	16
5788	PTPRC	94	0.06851795609502068	17
912	CD1D	56	0.06739423150687777	18
3105	HLA-A	87	0.06346634849185595	19
2993	GYPA	51	0.058312106480845095	20
3075	CFH	51	0.054814661030866685	21
100861467	ERVK-13	43	0.053544400281034465	22
965	CD58	40	0.04930150872747504	23
947	CD34	66	0.047755036907092346	24
3516	RBPJ	36	0.043296476833963114	25
7450	VWF	49	0.042480950617353054	26
2056	EPO	51	0.04242220399466881	27
1088	CEACAM8	34	0.04134937894604799	28
2539	G6PD	41	0.04119286316228694	29
2147	F2	56	0.039973493036886285	30
3717	JAK2	46	0.03986604944683883	31
28	ABO	38	0.039114771904042826	32
710	SERPING1	29	0.03533770707877039	33
1401	CRP	67	0.034723992257550435	34
925	CD8A	60	0.03462541489453294	35
378938	MALAT1	30	0.03155411407874004	36
1378	CR1	27	0.030350910318950226	37
712	C1QA	30	0.030153771633387613	38
22914	KLRK1	26	0.027326786110941356	39
962	CD48	21	0.026759526991944862	40
811	CALR	25	0.02600672528122397	41
11126	CD160	19	0.025672731575504443	42
5329	PLAUR	23	0.025419121449332248	43
1675	CFD	21	0.025035905412843607	44
324	APC	30	0.025008978945058196	45
43	ACHE	27	0.024359619156926617	46
355	FAS	30	0.024337508551811247	47
5657	PRTN3	23	0.02381539526456262	48
5340	PLG	26	0.02345710887529473	49
945	CD33	22	0.022142424354490316	50
54790	TET2	20	0.021517466438737195	51
716	C1S	17	0.021386021393430765	52
26040	SETBP1	16	0.020917606188518584	53
23512	SUZ12	17	0.02051821580000722	54
7307	U2AF1	16	0.020316001059048454	55
26503	SLC17A5	26	0.019288387613931892	56
1043	CD52	16	0.01925262212869733	57
5199	CFP	16	0.019248605738259164	58
6962	TRBV20OR9-2	24	0.019212381016968715	59
930	CD19	24	0.018823998256463595	60
57126	CD177	15	0.018629511048449468	61
2215	FCGR3B	14	0.018535759808077038	62
4179	CD46	17	0.018504819129362242	63
973	CD79A	24	0.018017769877798906	64
920	CD4	33	0.01692120557859551	65
6531	SLC6A3	17	0.01691299112329047	66
921	CD5	17	0.01683518328045975	67
3123	HLA-DRB1	17	0.01637114025841793	68
100131827	ZNF717	9	0.016072869146955184	69
8091	HMGA2	14	0.01599329790052617	70
7037	TFRC	17	0.015899853329810074	71
1523	CUX1	12	0.015515736481420208	72
3684	ITGAM	18	0.01509979955758316	73
2244	FGB	21	0.014987209798011476	74
2152	F3	17	0.01475381759846141	75
2153	F5	15	0.014399097048356253	76
9947	MAGEC1	9	0.01428533059116461	77
914	CD2	14	0.014199683446703889	78
3107	HLA-C	18	0.014027192325956193	79
135228	CD109	9	0.013340118699493527	80
2122	MECOM	10	0.01308363487307312	81
7490	WT1	13	0.01300024606444139	82
9757	KMT2B	10	0.012973565062020088	83
4311	MME	14	0.012879476873651093	84
1440	CSF3	15	0.01285367008976132	85
399844	LINC01002	6	0.012568858581528215	86
290	ANPEP	12	0.012531703301034333	87
3458	IFNG	22	0.0124941526625863	88
213	ALB	21	0.011993613372924728	89
91544	UBXN11	8	0.011961065992782407	90
3119	HLA-DQB1	11	0.011454633693532083	91
1488	CTBP2	8	0.011354442902875345	92
4585	MUC4	9	0.01108017265253401	93
171023	ASXL1	9	0.010519613216820909	94
250	ALPP	12	0.010315386029040056	95
715	C1R	8	0.010308737975479678	96
27087	B3GAT1	9	0.009714891218089551	97
4680	CEACAM6	7	0.009706896022837716	98
3815	KIT	12	0.009644678993644757	99
2312	FLG	8	0.00916753989580654	100
